cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.6854776127085813,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,23,-714.689105045199,1479.1079398201277,40.43045190482462,8.31633427560848e-10
2.035648150599971,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,38,-696.4055288011198,1479.359100306866,40.681612391562794,7.33488198744478e-10
1.9174761998916041,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,41,-692.6820513061951,1479.7525918210233,41.0751039057202,6.02486796987086e-10
2.046521450598024,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,38,-697.1093587774626,1480.7667602595516,42.08927234424846,3.62847099541832e-10
2.5628092935846674,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,31,-706.067993982121,1481.024876853131,42.34738893782787,3.18914561733928e-10
1.8593369397504211,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,41,-693.6854023447721,1481.7592938981772,43.08180598287413,2.20901016674109e-10
1.6710593745276117,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,59,-668.7266358296312,1482.6840408900316,44.00655297472849,1.39120604736498e-10
2.665119848452777,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,31,-708.3992950406766,1485.6874789702422,47.009991054939064,3.09886862068375e-11
2.182784832305543,+,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,44,-692.079441619279,1486.558883238558,47.88139532325499,2.00438032800383e-11
2.9352679329491878,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,-723.0538662455539,1486.641065824441,47.96357790913794,1.92368699925113e-11
1.8094608196369708,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,56,-675.2213081485418,1486.7163805556386,48.03889264033546,1.85259302177073e-11
1.7299977812163845,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,NA,NA,50,-684.0706414872956,1487.1003907812826,48.422902865979495,1.5289499281183e-11
2.705399888838434,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,-709.3941838592772,1487.6772566074433,48.99976869214015,1.14585177095031e-11
2.2358037686045633,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,41,-696.9140132704321,1488.2165157494971,49.53902783419403,8.75043827050967e-12
1.8049104729381324,+,+,+,+,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,47,-689.1598663633955,1488.9079680209086,50.230480105605466,6.19274008222083e-12
1.8770453428812994,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,47,-689.7447615626235,1490.0777584193645,51.40027050406138,3.45037338333142e-12
2.2199090657566227,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,47,-690.4103041877331,1491.4088436695838,52.731355754280685,1.77347309957607e-12
1.840696387754299,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,59,-673.2348870927892,1491.7005434163477,53.02305550104461,1.53279053577655e-12
1.936883776512369,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,44,-694.7627018993433,1491.9254037986866,53.247915883383484,1.36979317676514e-12
2.1455249621387873,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,+,NA,NA,47,-690.8452470275947,1492.278729349307,53.601241434003896,1.14797209173726e-12
2.2716337800723805,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,44,-695.2897361841489,1492.9794723682978,54.3019844529947,8.08661779034861e-13
1.907736728283348,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,50,-688.0137766780098,1494.986661162711,56.3091732474079,2.96422665426505e-13
1.8143324068460989,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,50,-688.0901475553244,1495.1394029173402,56.46191500203713,2.74627458324714e-13
